TxHash,BlockHeight,voter,option,proposal_id
B53F8DFA4C3294126BD80CA16CDD58D1788709BF638ED12CB6C70FA6573D3387,7607120,terra1kurv4sluuu0fj0qaqwu0epq3h7mr78f2z07p9m,VOTE_OPTION_YES,1211
3F9AE882485490CF06C5992D93E71D595B2AF08DE11CC2926788888EFC8570D7,7607114,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_NO,1196
C19D8C12F9E8FC6ADEB48EC5C1F83A99C075739A641D19A64E0F2DDC7BA84528,7607120,terra1rq7jvnrp62g0tlfqdwtrq80g5f2kfejxpeykck,VOTE_OPTION_YES,1188
94CF80759E7040BD019E2EDE6F9EA679CD962B0C8A1300CB7C59921DA59AD5E4,7607120,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_YES,1197
5A9AA86181F6B4476C2E676DD979EE00CDAB95FCB107E6ED1EB2455657F746EE,7607107,terra1as4envfrrjxp2xprra24mwxjqn0vachslv08y8,VOTE_OPTION_YES,1188
4B0E14651E338B0109A07891E4A054B659A18BC410CED435FE25A0EBB2295A57,7607107,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_ABSTAIN,1194
FEDE46548902EE665ACC53A2BA26FD7399855FDD125FC39E2681C1FFC10849B0,7607109,terra1s3wxxlwhtj6wea84ne4nzpd5u80ucdnd5cnrnf,VOTE_OPTION_YES,1188
A5924005FB130E7457193F40773DA012BC249C6A245990A10FCE3ED7F49103F7,7607102,terra1em58a825mutma93xvfy63h0hd8tgltpnm8dyqr,VOTE_OPTION_YES,1205
B64EB64F7187BAD298956675DC3C003CABE93D7D261A2637E14BFF20965CB360,7607106,terra1em58a825mutma93xvfy63h0hd8tgltpnm8dyqr,VOTE_OPTION_YES,1211
F7579A614B819F57B013104953EA4A4A6817F461A45BB3C85C13AD756F718D44,7607107,terra1w0xucz8s9v9w4us9w8um0ut6flpkmltm596s6f,VOTE_OPTION_YES,1203
AECFD6ECCFB64E1DA605DDDAAA123CF991CAED1FFD9D87C2A2B5581DE59B3D28,7607100,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_NO,1192
7EEC7F5CD74FA752E525E0111233866DAB74A16D9E558256BB562861041E9A7E,7607096,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_NO,1191
1C36B9AA749DE28BBE5899E567B013802339A4144DB98138F1231E119610A954,7607087,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_YES,1188
138DD5416951C5753C70C69D90A57325200C3CEC681E0F854F6F04578B64D734,7607093,terra1arzq4p7glemhu3cu67msclp8w4ngpz92r3werq,VOTE_OPTION_YES,1194
6B16404D4F123C07312D89533004B31BD96DB6FFFAED8ABCAC729415B3BD4599,7607094,terra1qgl8mpkecg4nz2r8v54r952l4g2w3ny0wfu60u,VOTE_OPTION_YES,1164
2DBC62E27ED71BD6EAF5A21616A65CC013D9BD5F49A3FC4EB32DD3660F46AE70,7607076,terra1dkqt8a0aq4vguapk9qxaaeqqe48sd3vljqc7kh,VOTE_OPTION_YES,1188
89C53346E3CF9EFEEDFFD38987AD8A7F14DC8B3BFD4723CB7875B90952D095A4,7607081,terra15ky8az3j03zyx7wtuh7qqy738es9alxut9u3x9,VOTE_OPTION_YES,1188
7294562BC6FCF6B94B3E9C54008D2D679E5A731E9D99185937C64974995169EC,7607080,terra1vv4y54wczzk99ga65uvy7555n5q68gswc5p3ze,VOTE_OPTION_NO,1169
